Show_id,Type,Title,Release_year,Year,Month,Rating_Group,Content_Age_Bucket
s5079,Movie,Katt Williams: Great America,218,2018,January,Adult,New
s5077,Movie,Arango y Sanint: Ríase el show,218,2018,January,Adult,New
s5074,Movie,The Open House,218,2018,January,Adult,New
s5068,Movie,Todd Glass: Act Happy,218,2018,January,Adult,New
s5067,Movie,Ricardo Quevedo: Hay gente así,218,2018,January,Adult,New
s5061,Movie,Fakkah Fuzz: Almost Banned,218,2018,January,Adult,New
s5062,Movie,Mau Nieto: Viviendo sobrio… desde el bar,218,2018,January,Adult,New
s5063,Movie,Sebastián Marcelo Wainraich,218,2018,January,Adult,New
s5060,Movie,A Futile and Stupid Gesture,218,2018,January,Adult,New
s5087,Movie,Tom Segura: Disgraceful,218,2018,January,Adult,New
s5088,Movie,Alejandro Riaño: Especial de stand up,218,2018,January,Adult,New
s5043,Movie,The Ritual,218,2018,February,Adult,New
s5040,Movie,Chris Rock: Tamborine,218,2018,February,Adult,New
s5038,Movie,Irreplaceable You,218,2018,February,Adult,New
s5035,Movie,Agustín Aristarán: Soy Rada,218,2018,February,Adult,New
s5050,Movie,Kavin Jay: Everybody Calm Down!,218,2018,February,Adult,New
s5029,Movie,Mute,218,2018,February,Adult,New
s5025,Movie,Marlon Wayans: Woke-ish,218,2018,February,Adult,New
s5024,Movie,Derren Brown: The Push,218,2018,February,Adult,New
s4994,Movie,The Outsider,218,2018,March,Adult,New
s4988,Movie,Steel Rain,218,2018,March,Adult,New
s4990,Movie,Ricky Gervais: Humanity,218,2018,March,Adult,New
s5002,Movie,Malena Pichot: Estupidez compleja,218,2018,March,Adult,New
s5003,Movie,Natalia Valdebenito: El especial,218,2018,March,Adult,New
s4971,Movie,"Game Over, Man!",218,2018,March,Adult,New
s4973,Movie,Paradox,218,2018,March,Adult,New
s4982,Movie,Yoo Byung Jae: Too Much Information,218,2018,March,Adult,New
s4975,Movie,Roxanne Roxanne,218,2018,March,Adult,New
s5007,Movie,Battle Drone,218,2018,March,Adult,New
s5006,Movie,Adel Karam: Live from Beirut,218,2018,March,Adult,New
s4963,Movie,Sofía Niño de Rivera: Selección Natural,218,2018,March,Adult,New
s4964,Movie,The Titan,218,2018,March,Adult,New
s4960,Movie,First Match,218,2018,March,Adult,New
s4961,Movie,Happy Anniversary,218,2018,March,Adult,New
s4945,Movie,Fary Is the New Black,218,2018,April,Adult,New
s4944,Movie,Day of the Dead: Bloodline,218,2018,April,Adult,New
s4941,Movie,Todo lo que sería Lucas Lauriente,218,2018,April,Adult,New
s4939,Movie,Seth Rogen's Hilarity for Charity,218,2018,April,Adult,New
s4936,Movie,Amateur,218,2018,April,Adult,New
s4935,Movie,6 Balloons,218,2018,April,Adult,New
s4912,Movie,The Rachel Divide,218,2018,April,Adult,New
s4933,Movie,Greg Davies: You Magnificent Beast,218,2018,April,Adult,New
s4930,Movie,I Am not an Easy Man,218,2018,April,Adult,New
s4922,Movie,Kodachrome,218,2018,April,Adult,New
s4921,Movie,Dude,218,2018,April,Adult,New
s4919,Movie,Psychokinesis,218,2018,April,Adult,New
s4916,Movie,Enissa Amani: Ehrenwort,218,2018,April,Adult,New
s4850,Movie,Fernando Sanjiao: Hombre,218,2018,May,Adult,New
s4851,Movie,Ibiza,218,2018,May,Adult,New
s4856,Movie,Catching Feelings,218,2018,May,Adult,New
s4861,Movie,Aiyaary,218,2018,May,Adult,New
s4864,Movie,Ali Wong: Hard Knock Wife,218,2018,May,Adult,New
s4867,Movie,Carlos Ballarta: Furia Ñera,218,2018,May,Adult,New
s4871,Movie,Hari Kondabolu: Warn Your Relatives,218,2018,May,Adult,New
s4873,Movie,Family Blood,218,2018,May,Adult,New
s4848,Movie,Sara's Notebook,218,2018,May,Adult,New
s4876,Movie,Anon,218,2018,May,Adult,New
s4877,Movie,Dany Boon: Des Hauts De France,218,2018,May,Adult,New
s4879,Movie,Forgive Us Our Debts,218,2018,May,Adult,New
s4884,Movie,Si saben cómo me pongo ¿pá qué me invitan?,218,2018,May,Adult,New
s4889,Movie,Darc,218,2018,May,Adult,New
s4891,Movie,John Mulaney: Kid Gorgeous at Radio City,218,2018,May,Adult,New
s6005,Movie,"27, el club de los malditos",218,2018,May,Adult,New
s7592,Movie,No Estoy Loca,218,2018,May,Adult,New
s4815,Movie,W. Kamau Bell: Private School Negro,218,2018,June,Adult,New
s4818,Movie,"To Each, Her Own",218,2018,June,Adult,New
s4821,Movie,Derren Brown: Miracle,218,2018,June,Adult,New
s4823,Movie,Us and Them,218,2018,June,Adult,New
s4824,Movie,Hannah Gadsby: Nanette,218,2018,June,Adult,New
s4826,Movie,Lust Stories,218,2018,June,Adult,New
s4827,Movie,Maktub,218,2018,June,Adult,New
s4829,Movie,Set It Up,218,2018,June,Adult,New
s4843,Movie,Outside In,218,2018,June,Adult,New
s4836,Movie,Franco Escamilla: Por la anécdota,218,2018,June,Adult,New
s4835,Movie,Ali's Wedding,218,2018,June,Adult,New
s4834,Movie,Alex Strangelove,218,2018,June,Adult,New
s4813,Movie,TAU,218,2018,June,Adult,New
s4812,Movie,Recovery Boys,218,2018,June,Adult,New
s4809,Movie,Jani Dueñas: Grandes fracasos de ayer y hoy,218,2018,June,Adult,New
s4807,Movie,Calibre,218,2018,June,Adult,New
s6316,Movie,Birthmarked,218,2018,June,Adult,New
s4803,Movie,Zoo,218,2018,July,Adult,New
s4795,Movie,Duck Butter,218,2018,July,Adult,New
s4762,Movie,Father of the Year,218,2018,July,Adult,New
s4767,Movie,El club de los buenos infieles,218,2018,July,Adult,New
s4774,Movie,How It Ends,218,2018,July,Adult,New
s4776,Movie,Romina,218,2018,July,Adult,New
s4784,Movie,The Skin of the Wolf,218,2018,July,Adult,New
s4775,Movie,Jim Jefferies: This Is Me Now,218,2018,July,Adult,New
s4757,Movie,Iliza Shlesinger: Elder Millennial,218,2018,July,Adult,New
s4758,Movie,The Warning,218,2018,July,Adult,New
s4750,Movie,Coco y Raulito: Carrusel de ternura,218,2018,July,Adult,New
s4752,Movie,Extinction,218,2018,July,Adult,New
s8296,Movie,The Feels,218,2018,July,Adult,New
s5983,Movie,100 Days Of Solitude,218,2018,July,Adult,New
s6111,Movie,Alejandro Sanz: What I Was Is What I Am,218,2018,August,Adult,New
s6044,Movie,A Leaf of Faith,218,2018,August,Adult,New
s7657,Movie,Once In A Lifetime Sessions with Noel Gallagher,218,2018,August,Adult,New
s4700,Movie,Yoo Byung Jae: Discomfort Zone,218,2018,August,Adult,New
s4707,Movie,The Package,218,2018,August,Adult,New
s4689,Movie,The After Party,218,2018,August,Adult,New
s4676,Movie,The Laws of Thermodynamics,218,2018,August,Adult,New
s4685,Movie,Bert Kreischer: Secret Time,218,2018,August,Adult,New
s4709,Movie,Perdida,218,2018,August,Adult,New
